"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","Mouse.ID","LK16Sid","ExName","Ex","LavageDate","MP","SampleOrigin","Cage","ExCage","ExCageTp","Timepoint","TimeP","Timepoint.wks","AntibioticTx","Infected","Tp.Cage","Tp.ABX","Tp.Infect","ABX.Infect","Tp.ABX.Infect","NaturalMicro","InfectionStage","InfectStage2","InfectStageDepo","InfectStagePreUM","InfectStageDEM","ViralCopyNumber","ViralCopyNumberHighLow","DiseaseCINEndpoint","DiseaseCINEndpointRanked","Cleared.Persistent","Kingdom","Phylum","Class","Order","Family","Genus"
"15430","fbe681bb9d21244b516cdfdb7f230b69","LK16S004-187",0.0152066115702479,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_187_S191_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_187_S191_R2_001.fastq.gz","09-29-M7-2","LK16S004_187","Baseline","E3","9/29/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp6","Timepoint 6","6","8","None","Infected","Tp6_Cage7","Tp6_None","Tp6_Infected","None_Infected","Tp6_None_Infected","No","6 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",NA,"","CIN2 (considered 3)","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium"
"2156","1a98ff4f7e42b825bd257e038465432f","LK16S004-242",0.0151975683890578,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_242_S246_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_242_S246_R2_001.fastq.gz","10-27-M6-1","LK16S004_242","Baseline","E3","10/27/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp8","Timepoint 8","8","12","None","Untouched","Tp8_Cage6","Tp8_None","Tp8_Untouched","None_Untouched","Tp8_None_Untouched","No","10 wks post-MmuPV1 infection","Infected","Infected","Untouched","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"15166","f9e1a1c2197e923ec95eb84b6ae6376b","LK16S004-242",0.0151975683890578,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_242_S246_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_242_S246_R2_001.fastq.gz","10-27-M6-1","LK16S004_242","Baseline","E3","10/27/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp8","Timepoint 8","8","12","None","Untouched","Tp8_Cage6","Tp8_None","Tp8_Untouched","None_Untouched","Tp8_None_Untouched","No","10 wks post-MmuPV1 infection","Infected","Infected","Untouched","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"11431","ad4491df2aa2a9d107efeb75973869b9","LK16S004-259",0.0151706700379267,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_259_S263_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_259_S263_R2_001.fastq.gz","10-27-M11-3","LK16S004_259","Baseline","E3","10/27/20","M11-3","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp8","Timepoint 8","8","12","None","Infected","Tp8_Cage11","Tp8_None","Tp8_Infected","None_Infected","Tp8_None_Infected","No","10 wks post-MmuPV1 infection","Infected","Infected","Infected","Mid Infection (8-10-12wpi)",NA,"","CIN2","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus"
"7206","63ee4320a568cbe73cef58ad2313fc31","LK16S004-247",0.0151515151515152,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_247_S251_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_247_S251_R2_001.fastq.gz","10-27-M7-3","LK16S004_247","Baseline","E3","10/27/20","M7-3","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp8","Timepoint 8","8","12","None","Infected","Tp8_Cage7","Tp8_None","Tp8_Infected","None_Infected","Tp8_None_Infected","No","10 wks post-MmuPV1 infection","Infected","Infected","Infected","Mid Infection (8-10-12wpi)",NA,"","CIN2  ","Low","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Rhodococcus"
"11665","b7dc27ecadad4877eb1b2ffdbe3f6148","LK16S004-247",0.0151515151515152,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_247_S251_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_247_S251_R2_001.fastq.gz","10-27-M7-3","LK16S004_247","Baseline","E3","10/27/20","M7-3","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp8","Timepoint 8","8","12","None","Infected","Tp8_Cage7","Tp8_None","Tp8_Infected","None_Infected","Tp8_None_Infected","No","10 wks post-MmuPV1 infection","Infected","Infected","Infected","Mid Infection (8-10-12wpi)",NA,"","CIN2  ","Low","Persistent","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"13984","e6dfdf7621ae84f17a37e1bbdc5df810","LK16S004-200",0.0151038388923851,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_200_S204_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_200_S204_R2_001.fastq.gz","09-29-M11-1","LK16S004_200","Baseline","E3","9/29/20","M11-1","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp6","Timepoint 6","6","8","None","Infected","Tp6_Cage11","Tp6_None","Tp6_Infected","None_Infected","Tp6_None_Infected","No","6 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",NA,"","CIN3","High ","Persistent","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter"
"9075","8926dbe0c115ff2c9d612c17c2d5cfee","LK16S004-104",0.0150801131008483,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_104_S106_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_104_S106_R2_001.fastq.gz","08-19-M11-3","LK16S004_104","Baseline","E3","8/19/20","M11-3","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp3","Timepoint 3","3","3","None","Infected","Tp3_Cage11","Tp3_None","Tp3_Infected","None_Infected","Tp3_None_Infected","Post-Depo","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Pre-Infection","Post-Depo","Post-Depo","Post-Depo",NA,"","CIN2","Low","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc"
"10145","9a50ed86e447df6c5635c1029eba5f30","LK16S004-104",0.0150801131008483,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_104_S106_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_104_S106_R2_001.fastq.gz","08-19-M11-3","LK16S004_104","Baseline","E3","8/19/20","M11-3","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp3","Timepoint 3","3","3","None","Infected","Tp3_Cage11","Tp3_None","Tp3_Infected","None_Infected","Tp3_None_Infected","Post-Depo","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Pre-Infection","Post-Depo","Post-Depo","Post-Depo",NA,"","CIN2","Low","Persistent","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Megasphaera"
"2345","1e222faf07bcd55a8b19ee90a23f0f96","LK16S004-095",0.0150375939849624,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_095_S97_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_095_S97_R2_001.fastq.gz","08-19-M08-5","LK16S004_095","Baseline","E3","8/19/20","M8-5","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Mock","Tp3_Cage8","Tp3_None","Tp3_Mock","None_Mock","Tp3_None_Mock","Post-Depo","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Pre-Infection","Post-Depo","Post-Depo","Post-Depo",NA,"","","","","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Cellvibrio"
"8536","8632dac767a978f390c0739543c2a1a6","LK16S004-243",0.0150375939849624,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_243_S247_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_243_S247_R2_001.fastq.gz","10-27-M6-2","LK16S004_243","Baseline","E3","10/27/20","M6-2","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp8","Timepoint 8","8","12","None","Untouched","Tp8_Cage6","Tp8_None","Tp8_Untouched","None_Untouched","Tp8_None_Untouched","No","10 wks post-MmuPV1 infection","Infected","Infected","Untouched","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"12282","d2ce5d75b625af02dc97b675bfe39cdf","LK16S004-017",0.0149812734082397,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_017_S17_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_017_S17_R2_001.fastq.gz","07-28-M07-2","LK16S004_017","Baseline","E3","7/28/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp1","Timepoint 1","1","0","None","Infected","Tp1_Cage7","Tp1_None","Tp1_Infected","None_Infected","Tp1_None_Infected","Natural","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","CIN3","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia"
"15275","fb785857e39b9b8a82728ec27ecf26c0","LK16S004-017",0.0149812734082397,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_017_S17_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_017_S17_R2_001.fastq.gz","07-28-M07-2","LK16S004_017","Baseline","E3","7/28/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp1","Timepoint 1","1","0","None","Infected","Tp1_Cage7","Tp1_None","Tp1_Infected","None_Infected","Tp1_None_Infected","Natural","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","CIN3","High","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"11001","a562be7bb599d54fe6eb783bad4b090b","LK16S004-217",0.0149647887323944,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_217_S221_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_217_S221_R2_001.fastq.gz","10-13-M7-1","LK16S004_217","Baseline","E3","10/13/20","M7-1","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp7","Timepoint 7","7","10","None","Infected","Tp7_Cage7","Tp7_None","Tp7_Infected","None_Infected","Tp7_None_Infected","No","8 wks post-MmuPV1 infection","Infected","Infected","Infected","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Cytophaga"
"10829","a44561cb545b97a4ef5e7bf7fb75bbb8","LK16S004-281",0.0148690634709277,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_281_S286_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_281_S286_R2_001.fastq.gz","11-10-M8-1","LK16S004_281","Baseline","E3","11/10/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp9","Timepoint 9","9","14","None","Mock","Tp9_Cage8","Tp9_None","Tp9_Mock","None_Mock","Tp9_None_Mock","No","12 wks post-MmuPV1 infection","Infected","Infected","Mock","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Gemmiger"
"11134","a7f079173ac3cd268e83a1f6c8dd56ad","LK16S004-258",0.0148588410104012,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_258_S262_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_258_S262_R2_001.fastq.gz","10-27-M11-1","LK16S004_258","Baseline","E3","10/27/20","M11-1","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp8","Timepoint 8","8","12","None","Infected","Tp8_Cage11","Tp8_None","Tp8_Infected","None_Infected","Tp8_None_Infected","No","10 wks post-MmuPV1 infection","Infected","Infected","Infected","Mid Infection (8-10-12wpi)",NA,"","CIN3","High ","Persistent","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella"
"11257","a804aab502092d35e04c09f4f3bbddac","LK16S004-258",0.0148588410104012,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_258_S262_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_258_S262_R2_001.fastq.gz","10-27-M11-1","LK16S004_258","Baseline","E3","10/27/20","M11-1","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp8","Timepoint 8","8","12","None","Infected","Tp8_Cage11","Tp8_None","Tp8_Infected","None_Infected","Tp8_None_Infected","No","10 wks post-MmuPV1 infection","Infected","Infected","Infected","Mid Infection (8-10-12wpi)",NA,"","CIN3","High ","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anoxybacillus"
"11144","a804aab502092d35e04c09f4f3bbddac","LK16S004-103",0.0148367952522255,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_103_S105_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_103_S105_R2_001.fastq.gz","08-19-M11-2","LK16S004_103","Baseline","E3","8/19/20","M11-2","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp3","Timepoint 3","3","3","None","Infected","Tp3_Cage11","Tp3_None","Tp3_Infected","None_Infected","Tp3_None_Infected","Post-Depo","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Pre-Infection","Post-Depo","Post-Depo","Post-Depo",NA,"","","","","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anoxybacillus"
"6827","5f8c264b53cd443422ec9dc6cfa07b3e","LK16S004-091",0.0148305084745763,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_091_S91_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_091_S91_R2_001.fastq.gz","08-19-M08-1","LK16S004_091","Baseline","E3","8/19/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Mock","Tp3_Cage8","Tp3_None","Tp3_Mock","None_Mock","Tp3_None_Mock","Post-Depo","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Pre-Infection","Post-Depo","Post-Depo","Post-Depo",NA,"","","","","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"130","00fe6dc977b86e280d15cf0d79f7634a","LK16S004-121",0.0148038490007402,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_121_S125_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_121_S125_R2_001.fastq.gz","09-01-M7-2","LK16S004_121","Baseline","E3","9/1/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp4","Timepoint 4","4","4","None","Infected","Tp4_Cage7","Tp4_None","Tp4_Infected","None_Infected","Tp4_None_Infected","No","2 wks post-MmuPV1 infection","Infected","Infected","Infected","Infection Establishment (2wpi)",NA,"","CIN3","High","Persistent","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Mucispirillum"
"1348","0ff04f60a629ab032309e3ec3162dfab","LK16S004-215",0.0147697654213727,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_215_S219_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_215_S219_R2_001.fastq.gz","10-13-M6-3","LK16S004_215","Baseline","E3","10/13/20","M6-3","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp7","Timepoint 7","7","10","None","Untouched","Tp7_Cage6","Tp7_None","Tp7_Untouched","None_Untouched","Tp7_None_Untouched","No","8 wks post-MmuPV1 infection","Infected","Infected","Untouched","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Cloacibacterium"
"6536","5eb8ab7d65c8b208ca4d69860a2d63b1","LK16S004-158",0.0147530468248877,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_158_S162_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_158_S162_R2_001.fastq.gz","09-16-M8-1","LK16S004_158","Baseline","E3","9/16/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp5","Timepoint 5","5","6","None","Mock","Tp5_Cage8","Tp5_None","Tp5_Mock","None_Mock","Tp5_None_Mock","No","4 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia"
"12452","d784ebd8c4ba9754c32eaf950f864c09","LK16S004-192",0.0146701846965699,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_192_S196_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_192_S196_R2_001.fastq.gz","09-29-M8-4","LK16S004_192","Baseline","E3","9/29/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp6","Timepoint 6","6","8","None","Mock","Tp6_Cage8","Tp6_None","Tp6_Mock","None_Mock","Tp6_None_Mock","No","6 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium"
"8246","840e9b2c8fd818543742cadaaabbacd8","LK16S004-126",0.0146654445462878,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_126_S130_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_126_S130_R2_001.fastq.gz","09-01-M8-4","LK16S004_126","Baseline","E3","9/1/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp4","Timepoint 4","4","4","None","Mock","Tp4_Cage8","Tp4_None","Tp4_Mock","None_Mock","Tp4_None_Mock","No","2 wks post-MmuPV1 infection","Infected","Infected","Mock","Infection Establishment (2wpi)",NA,"","","","","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria"
"13068","dd99ad74a4e8d51cf811564c0e074694","LK16S004-126",0.0146654445462878,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_126_S130_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_126_S130_R2_001.fastq.gz","09-01-M8-4","LK16S004_126","Baseline","E3","9/1/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp4","Timepoint 4","4","4","None","Mock","Tp4_Cage8","Tp4_None","Tp4_Mock","None_Mock","Tp4_None_Mock","No","2 wks post-MmuPV1 infection","Infected","Infected","Mock","Infection Establishment (2wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Brevibacillus"
"4428","429528823edb55fa5e24e1f20b322a57","LK16S004-153",0.0146443514644351,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_153_S157_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_153_S157_R2_001.fastq.gz","09-16-M6-3","LK16S004_153","Baseline","E3","9/16/20","M6-3","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp5","Timepoint 5","5","6","None","Untouched","Tp5_Cage6","Tp5_None","Tp5_Untouched","None_Untouched","Tp5_None_Untouched","No","4 wks post-MmuPV1 infection","Infected","Infected","Untouched","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"3650","3358427b408d0c91dc8fcbb2a9817c96","LK16S004-189",0.0145931603773585,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_189_S193_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_189_S193_R2_001.fastq.gz","09-29-M8-1","LK16S004_189","Baseline","E3","9/29/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp6","Timepoint 6","6","8","None","Mock","Tp6_Cage8","Tp6_None","Tp6_Mock","None_Mock","Tp6_None_Mock","No","6 wks post-MmuPV1 infection","Infected","Infected","Mock","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Kaistobacter"
"12991","dc24a3607176ef6da2dc7d02bc8070fa","LK16S004-094",0.0145926226185651,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_094_S94_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_094_S94_R2_001.fastq.gz","08-19-M08-4","LK16S004_094","Baseline","E3","8/19/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Mock","Tp3_Cage8","Tp3_None","Tp3_Mock","None_Mock","Tp3_None_Mock","Post-Depo","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Pre-Infection","Post-Depo","Post-Depo","Post-Depo",NA,"","","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"1356","0ff04f60a629ab032309e3ec3162dfab","LK16S004-152",0.0145918832649339,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_152_S156_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_152_S156_R2_001.fastq.gz","09-16-M6-2","LK16S004_152","Baseline","E3","9/16/20","M6-2","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp5","Timepoint 5","5","6","None","Untouched","Tp5_Cage6","Tp5_None","Tp5_Untouched","None_Untouched","Tp5_None_Untouched","No","4 wks post-MmuPV1 infection","Infected","Infected","Untouched","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Cloacibacterium"
"2339","1e222faf07bcd55a8b19ee90a23f0f96","LK16S004-152",0.0145918832649339,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_152_S156_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_152_S156_R2_001.fastq.gz","09-16-M6-2","LK16S004_152","Baseline","E3","9/16/20","M6-2","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp5","Timepoint 5","5","6","None","Untouched","Tp5_Cage6","Tp5_None","Tp5_Untouched","None_Untouched","Tp5_None_Untouched","No","4 wks post-MmuPV1 infection","Infected","Infected","Untouched","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Cellvibrio"
"8160","8267c5b631a0fe52a3771051d813a4ac","LK16S004-116",0.0145681581685744,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_116_S120_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_116_S120_R2_001.fastq.gz","09-01-M6-1","LK16S004_116","Baseline","E3","9/1/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp4","Timepoint 4","4","4","None","Untouched","Tp4_Cage6","Tp4_None","Tp4_Untouched","None_Untouched","Tp4_None_Untouched","No","2 wks post-MmuPV1 infection","Infected","Infected","Untouched","Infection Establishment (2wpi)",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Brevibacteriaceae","Brevibacterium"
"2940","2802fb533a2ec8dc56986d645fed3af8","LK16S004-186",0.0145379023883697,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_186_S190_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_186_S190_R2_001.fastq.gz","09-29-M7-1","LK16S004_186","Baseline","E3","9/29/20","M7-1","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp6","Timepoint 6","6","8","None","Infected","Tp6_Cage7","Tp6_None","Tp6_Infected","None_Infected","Tp6_None_Infected","No","6 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",NA,"","","","","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"2302","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-252",0.0144876325088339,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_252_S256_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_252_S256_R2_001.fastq.gz","10-27-M8-5","LK16S004_252","Baseline","E3","10/27/20","M8-5","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp8","Timepoint 8","8","12","None","Mock","Tp8_Cage8","Tp8_None","Tp8_Mock","None_Mock","Tp8_None_Mock","No","10 wks post-MmuPV1 infection","Infected","Infected","Mock","Mid Infection (8-10-12wpi)",NA,"","","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"7784","77de2d361356f2e081b5086efdcacc58","LK16S004-188",0.0144648023143684,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_188_S192_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_188_S192_R2_001.fastq.gz","09-29-M7-3","LK16S004_188","Baseline","E3","9/29/20","M7-3","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp6","Timepoint 6","6","8","None","Infected","Tp6_Cage7","Tp6_None","Tp6_Infected","None_Infected","Tp6_None_Infected","No","6 wks post-MmuPV1 infection","Infected","Infected","Infected","Early Infection (4 & 6wpi)",NA,"","CIN2  ","Low","Persistent","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Hymenobacter"
