"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","Mouse.ID","LK16Sid","ExName","Ex","LavageDate","MP","SampleOrigin","Cage","ExCage","ExCageTp","Timepoint","TimeP","Timepoint.wks","AntibioticTx","Tp.Cage","Tp.ABX","NaturalMicro","Infected","InfectStage2","InfectStageDepo","InfectStageDEM","InfectStage","ViralCopyNumber","ViralCopyNumberHighLow","DiseaseCINEndpoint","DiseaseEndpointRanked","Cleared.PersistentAtEndpoint","Kingdom","Phylum","Class","Order","Family","Genus"
"81","1381e53833be538c7e162c6321cbc9f8","LKMB005_132",0.00562395500835993,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_132_S134_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_132_S134_R2_001.fastq.gz","09-29--MP4-2","LKMB005_132","Pilot","E2","29-Sep","MP4-2","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp6","Timepoint 6",6,10,"None","Tp6_Cage4","Tp6_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","8 wks post-infection with MmuPV1","3.92E+04","High","CIN 3","High","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
"118","1381e53833be538c7e162c6321cbc9f8","LKMB005_083",0.00561797752808989,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_083_S83_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_083_S83_R2_001.fastq.gz","09-01--MP4-3","LKMB005_083","Pilot","E2","1-Sep","MP4-3","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp4","Timepoint 4",4,6,"None","Tp4_Cage4","Tp4_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","4 wks post-infection with MmuPV1","4.38E+05","High","CIN 3","High","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
"2869","a1c8f541d5a82ded14682275dd1d10ee","LKMB005_161",0.00561474229772531,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_161_S163_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_161_S163_R2_001.fastq.gz","10-13--MP4-2","LKMB005_161","Pilot","E2","13-Oct","MP4-2","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp7","Timepoint 7",7,12,"None","Tp7_Cage4","Tp7_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","10 wks post-infection with MmuPV1","4.85E+04","High","CIN 3","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Kocuria"
"4259","ee42d4fab4e86397fc62b239d0245529","LKMB005_039",0.00560366785532348,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_039_S39_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_039_S39_R2_001.fastq.gz","08-04--MP5-2","LKMB005_039","Pilot","E2","4-Aug","MP5-2","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp2","Timepoint 2",2,2,"None","Tp2_Cage5","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","2wks post-Abx (just prior to N9/Infxn)","Pre-Infection","Pre-Infection","Pre-Infection","No Tissue","Unknown","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"407","1e222faf07bcd55a8b19ee90a23f0f96","LKMB005_018",0.00560336201721033,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_018_S18_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_018_S18_R2_001.fastq.gz","07-21--MP5-4","LKMB005_018","Pilot","E2","21-Jul","MP5-4","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp1","Timepoint 1",1,0,"None","Tp1_Cage5","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","Pre-Infection","Pre-Infection","Pre-Infection","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Cellvibrio"
"746","276ea863b6be0e5bbd3234cc0e30aaa2","LKMB005_062",0.00559938915754645,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_062_S62_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_062_S62_R2_001.fastq.gz","08-19--MP4-3","LKMB005_062","Pilot","E2","19-Aug","MP4-3","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp3","Timepoint 3",3,4,"None","Tp3_Cage4","Tp3_None","No","Infected","Infected","Infected","Infection Establishment (2wpi)","2 wks post-infection with MmuPV1","1.69E+05","High","CIN 3","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Bogoriellaceae","Georgenia"
"85","1381e53833be538c7e162c6321cbc9f8","LKMB005_111",0.00559139784946237,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_111_S113_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_111_S113_R2_001.fastq.gz","09-16--MP5-4","LKMB005_111","Pilot","E2","16-Sep","MP5-4","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp5","Timepoint 5",5,8,"None","Tp5_Cage5","Tp5_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","6 wks post-infection with MmuPV1","9.48E+03","Low","CIN 2","Low","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
"3210","b15c9f60a2fbf3f5098cb96035e3a995","LKMB005_111",0.00559139784946237,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_111_S113_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_111_S113_R2_001.fastq.gz","09-16--MP5-4","LKMB005_111","Pilot","E2","16-Sep","MP5-4","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp5","Timepoint 5",5,8,"None","Tp5_Cage5","Tp5_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","6 wks post-infection with MmuPV1","9.48E+03","Low","CIN 2","Low","Persistent","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"4431","f8582fd06dc42e3dbfb96455edb35f00","LKMB005_065",0.00555963495227106,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_065_S65_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_065_S65_R2_001.fastq.gz","08-19--MP5-3","LKMB005_065","Pilot","E2","19-Aug","MP5-3","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp3","Timepoint 3",3,4,"None","Tp3_Cage5","Tp3_None","No","Infected","Infected","Infected","Infection Establishment (2wpi)","2 wks post-infection with MmuPV1","4.20E+04","High","SCC","Cancer","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","[Chromatiaceae]","Alishewanella"
"444","2015a8f34ece69af08b94f184d845efb","LKMB005_110",0.00555524537993412,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_110_S112_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_110_S112_R2_001.fastq.gz","09-16--MP5-3","LKMB005_110","Pilot","E2","16-Sep","MP5-3","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp5","Timepoint 5",5,8,"None","Tp5_Cage5","Tp5_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","6 wks post-infection with MmuPV1","3.95E+05","High","SCC","Cancer","Persistent","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Pseudochrobactrum"
"1296","3b7bc0d6813f66c8449b8b204b1e3755","LKMB005_041",0.00553562275756023,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_041_S41_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_041_S41_R2_001.fastq.gz","08-04--MP5-4","LKMB005_041","Pilot","E2","4-Aug","MP5-4","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp2","Timepoint 2",2,2,"None","Tp2_Cage5","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","2wks post-Abx (just prior to N9/Infxn)","Pre-Infection","Pre-Infection","Pre-Infection","Low","Persistent","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Sediminibacterium"
"338","1c8169b4e7008ce117a2b8695986fe8f","LKMB005_015",0.00552301255230125,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_015_S15_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_015_S15_R2_001.fastq.gz","07-21--MP5-1","LKMB005_015","Pilot","E2","21-Jul","MP5-1","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp1","Timepoint 1",1,0,"None","Tp1_Cage5","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","Pre-Infection","Pre-Infection","Pre-Infection","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"644","2668dffd9f7cffd3023cf1aab0362e46","LKMB005_068",0.00548501014351191,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_068_S68_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_068_S68_R2_001.fastq.gz","08-19--MP6-2","LKMB005_068","Pilot","E2","19-Aug","MP6-2","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp3","Timepoint 3",3,4,"None","Tp3_Cage6","Tp3_None","No","Infected","Infected","Infected","Infection Establishment (2wpi)","2 wks post-infection with MmuPV1","1.34E+04","High","CIN 3","High","Persistent","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"373","1e222faf07bcd55a8b19ee90a23f0f96","LKMB005_084",0.00546234880998829,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_084_S84_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_084_S84_R2_001.fastq.gz","09-01--MP5-1","LKMB005_084","Pilot","E2","1-Sep","MP5-1","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp4","Timepoint 4",4,6,"None","Tp4_Cage5","Tp4_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","4 wks post-infection with MmuPV1","2.22E+05","High","CIN 3","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Cellvibrio"
"1584","454a3769f3b1f0cfa3de8410ab44e3fc","LKMB005_083",0.00540395933654361,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_083_S83_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_083_S83_R2_001.fastq.gz","09-01--MP4-3","LKMB005_083","Pilot","E2","1-Sep","MP4-3","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp4","Timepoint 4",4,6,"None","Tp4_Cage4","Tp4_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","4 wks post-infection with MmuPV1","4.38E+05","High","CIN 3","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella"
"1426","3ea6039db42e9e06c3b3515a18bc12ee","LKMB005_132",0.00537062370167705,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_132_S134_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_132_S134_R2_001.fastq.gz","09-29--MP4-2","LKMB005_132","Pilot","E2","29-Sep","MP4-2","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp6","Timepoint 6",6,10,"None","Tp6_Cage4","Tp6_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","8 wks post-infection with MmuPV1","3.92E+04","High","CIN 3","High","Persistent","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"3397","c166985cec1796eb696cfebd7a715851","LKMB005_082",0.00535561268209083,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_082_S82_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_082_S82_R2_001.fastq.gz","09-01--MP4-2","LKMB005_082","Pilot","E2","1-Sep","MP4-2","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp4","Timepoint 4",4,6,"None","Tp4_Cage4","Tp4_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","4 wks post-infection with MmuPV1","4.26E+05","High","CIN 3","High","Persistent","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Elizabethkingia"
"2752","9e702b375988f09e7aa504d1f41f45b7","LKMB005_161",0.00532680679527786,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_161_S163_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_161_S163_R2_001.fastq.gz","10-13--MP4-2","LKMB005_161","Pilot","E2","13-Oct","MP4-2","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp7","Timepoint 7",7,12,"None","Tp7_Cage4","Tp7_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","10 wks post-infection with MmuPV1","4.85E+04","High","CIN 3","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Microbacterium"
"3477","c3c6b35a7e7fd0a56aab3c29bd47737b","LKMB005_135",0.00531208499335989,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_135_S137_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_135_S137_R2_001.fastq.gz","09-29--MP5-2","LKMB005_135","Pilot","E2","29-Sep","MP5-2","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp6","Timepoint 6",6,10,"None","Tp6_Cage5","Tp6_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","8 wks post-infection with MmuPV1","7.08E+04","High","No Tissue","No Tissue","Unknown","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"3763","d784ebd8c4ba9754c32eaf950f864c09","LKMB005_112",0.00530447697856991,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_112_S114_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_112_S114_R2_001.fastq.gz","09-16--MP6-1","LKMB005_112","Pilot","E2","16-Sep","MP6-1","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp5","Timepoint 5",5,8,"None","Tp5_Cage6","Tp5_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","6 wks post-infection with MmuPV1","1.85E+05","High","CIN 3","High","Persistent","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium"
"4023","deea546449a0016e0402ad010d55bd2d","LKMB005_088",0.0053032612008534,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_088_S88_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_088_S88_R2_001.fastq.gz","09-01--MP6-1","LKMB005_088","Pilot","E2","1-Sep","MP6-1","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp4","Timepoint 4",4,6,"None","Tp4_Cage6","Tp4_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","4 wks post-infection with MmuPV1","3.72E+05","High","CIN 3","High","Persistent","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"1206","3937da388a0ca5d5bab1832424a97d0c","LKMB005_108",0.00528750826173166,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_108_S110_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_108_S110_R2_001.fastq.gz","09-16--MP4-3","LKMB005_108","Pilot","E2","16-Sep","MP4-3","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp5","Timepoint 5",5,8,"None","Tp5_Cage4","Tp5_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","6 wks post-infection with MmuPV1","1.29E+07","High","CIN 3","High","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"114","1381e53833be538c7e162c6321cbc9f8","LKMB005_040",0.00525015441630636,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_040_S40_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_040_S40_R2_001.fastq.gz","08-04--MP5-3","LKMB005_040","Pilot","E2","4-Aug","MP5-3","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp2","Timepoint 2",2,2,"None","Tp2_Cage5","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","2wks post-Abx (just prior to N9/Infxn)","Pre-Infection","Pre-Infection","Pre-Infection","Cancer","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
"506","206f8c4ad7b0b122a6c684d6fb222a85","LKMB005_165",0.00521979046269714,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_165_S167_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_165_S167_R2_001.fastq.gz","10-13--MP5-3","LKMB005_165","Pilot","E2","13-Oct","MP5-3","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp7","Timepoint 7",7,12,"None","Tp7_Cage5","Tp7_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","10 wks post-infection with MmuPV1","3.54E+06","High","SCC","Cancer","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"585","245242d6b16e9f8cb1017229e230b4ea","LKMB005_060",0.00521920668058455,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_060_S60_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_060_S60_R2_001.fastq.gz","08-19--MP4-1","LKMB005_060","Pilot","E2","19-Aug","MP4-1","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp3","Timepoint 3",3,4,"None","Tp3_Cage4","Tp3_None","No","Infected","Infected","Infected","Infection Establishment (2wpi)","2 wks post-infection with MmuPV1","4.46E+05","High","CIN 3","High","Persistent","Bacteria","Firmicutes","Bacilli","Turicibacterales","Turicibacteraceae","Turicibacter"
"2212","67696afee40020e8783692136dc56cf9","LKMB005_018",0.00520312187312387,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_018_S18_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_018_S18_R2_001.fastq.gz","07-21--MP5-4","LKMB005_018","Pilot","E2","21-Jul","MP5-4","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp1","Timepoint 1",1,0,"None","Tp1_Cage5","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","Pre-Infection","Pre-Infection","Pre-Infection","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas"
"472","2015a8f34ece69af08b94f184d845efb","LKMB005_112",0.00519838743899852,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_112_S114_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_112_S114_R2_001.fastq.gz","09-16--MP6-1","LKMB005_112","Pilot","E2","16-Sep","MP6-1","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp5","Timepoint 5",5,8,"None","Tp5_Cage6","Tp5_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","6 wks post-infection with MmuPV1","1.85E+05","High","CIN 3","High","Persistent","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Pseudochrobactrum"
"4021","deea546449a0016e0402ad010d55bd2d","LKMB005_163",0.00517538815411156,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_163_S165_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_163_S165_R2_001.fastq.gz","10-13--MP5-1","LKMB005_163","Pilot","E2","13-Oct","MP5-1","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp7","Timepoint 7",7,12,"None","Tp7_Cage5","Tp7_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","10 wks post-infection with MmuPV1","1.50E+03","Low","CIN 3","High","Persistent","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"225","173ca1552c607c680889b30f43d7f026","LKMB005_134",0.00517277053589903,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_134_S136_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_134_S136_R2_001.fastq.gz","09-29--MP5-1","LKMB005_134","Pilot","E2","29-Sep","MP5-1","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp6","Timepoint 6",6,10,"None","Tp6_Cage5","Tp6_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","8 wks post-infection with MmuPV1","3.75E+02","Low","CIN 3","High","Persistent","Archaea","Crenarchaeota","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera"
"2445","8632dac767a978f390c0739543c2a1a6","LKMB005_134",0.00517277053589903,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_134_S136_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_134_S136_R2_001.fastq.gz","09-29--MP5-1","LKMB005_134","Pilot","E2","29-Sep","MP5-1","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp6","Timepoint 6",6,10,"None","Tp6_Cage5","Tp6_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","8 wks post-infection with MmuPV1","3.75E+02","Low","CIN 3","High","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"4529","fbe681bb9d21244b516cdfdb7f230b69","LKMB005_134",0.00517277053589903,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_134_S136_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_134_S136_R2_001.fastq.gz","09-29--MP5-1","LKMB005_134","Pilot","E2","29-Sep","MP5-1","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp6","Timepoint 6",6,10,"None","Tp6_Cage5","Tp6_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","8 wks post-infection with MmuPV1","3.75E+02","Low","CIN 3","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium"
"1216","3937da388a0ca5d5bab1832424a97d0c","LKMB005_111",0.00516129032258065,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_111_S113_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_111_S113_R2_001.fastq.gz","09-16--MP5-4","LKMB005_111","Pilot","E2","16-Sep","MP5-4","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp5","Timepoint 5",5,8,"None","Tp5_Cage5","Tp5_None","No","Infected","Infected","Infected","Early Infection (4 & 6wpi)","6 wks post-infection with MmuPV1","9.48E+03","Low","CIN 2","Low","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"4372","f3e0021e6d88e5040f071b865fdf37dd","LKMB005_164",0.00516068496364063,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_164_S166_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_164_S166_R2_001.fastq.gz","10-13--MP5-2","LKMB005_164","Pilot","E2","13-Oct","MP5-2","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp7","Timepoint 7",7,12,"None","Tp7_Cage5","Tp7_None","No","Infected","Infected","Infected","Mid Infection (8 & 10 wpi)","10 wks post-infection with MmuPV1","6.59E+05","High","No Tissue","No Tissue","Unknown","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Alloiococcus"
