"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","LCM","Date","Treatment","LCMSample","Mouse","MouseNO","MouseSampleNumber","LCM.Spots","Epi.Stroma","DNA.RNA","Infected","E2","Disease","Disease2","Estrus.Stage","Location","DisTx","TxEs","Viral.Copy.Number..per.5ng.total.DNA.","Mouse.ID","ViralCopyNumberHighLow","Cleared.Persistent","Kingdom","Phylum","Class","Order","Family","Genus"
"2157","8b10393e90d3a9028a3e56b608a5d945","LK16S004-349",0.0243407707910751,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-349_S248_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-349_S248_R2_001.fastq.gz","LCM43","8/13/21","MmuPV1 + 6m E2","MES-43-23_38_1E","M.23",23,1,90,"Epi","DNA","MmuPV","E2","Low CIN (CIN 1-2)","Low CIN","Diestrus","Cervicovaginal wall","MmuPV1 + 6m E2 -Low CIN","MmuPV1 + 6m E2 -Diestrus","3.21E+06","43-23","High","Persistent","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"1423","5772164cfa39aea6461ef5810312aecf","LK16S004-318",0.0243051886293987,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-318_S217_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-318_S217_R2_001.fastq.gz","LCM12","8/10/21","MmuPV1 only","MES-43-3_43_1E","M.03",3,1,99,"Epi","DNA","MmuPV","none","High CIN (at least CIN3)","High CIN","Diestrus","Vaginal wall","MmuPV1 only -High CIN","MmuPV1 only -Diestrus","4.92E+05","43-3","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas"
"2671","d9e1ce347028fcd55677dd7dcaafe6ce","LK16S004-330",0.0242877160205511,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-330_S229_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-330_S229_R2_001.fastq.gz","LCM24","8/11/21","Mock + 6m E2","MES-43-40_68_2E","M.40",40,2,26,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Diestrus","Cervicovaginal wall","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Diestrus","N/A","43-40","","Mock+E2","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella"
"512","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-335",0.0239819004524887,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-335_S234_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-335_S234_R2_001.fastq.gz","LCM29","8/11/21","Mock + 6m E2","MES-43-44_58_1E","M.44",44,1,15,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus/Diestrus","Ectocervix","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus/Diestrus","N/A","43-44","","Mock+E2","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"1772","6747ad484e6d8a72b539e63acb82f46b","LK16S004-349",0.0239350912778905,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-349_S248_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-349_S248_R2_001.fastq.gz","LCM43","8/13/21","MmuPV1 + 6m E2","MES-43-23_38_1E","M.23",23,1,90,"Epi","DNA","MmuPV","E2","Low CIN (CIN 1-2)","Low CIN","Diestrus","Cervicovaginal wall","MmuPV1 + 6m E2 -Low CIN","MmuPV1 + 6m E2 -Diestrus","3.21E+06","43-23","High","Persistent","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella"
"86","055ed46f3a5e7c21ba874d344fd6a6cf","LK16S004-312",0.0239081925406439,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-312_S211_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-312_S211_R2_001.fastq.gz","LCM06","8/10/21","Mock","MES-43-34_43_2E","M.34",34,2,41,"Epi","DNA","Mock","none","No disease","No disease","Metestrus/Diestrus","Cervicovaginal wall","Mock -No disease","Mock -Metestrus/Diestrus","N/A","43-34","","Mock","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Dialister"
"3056","fbe681bb9d21244b516cdfdb7f230b69","LK16S004-308",0.023876404494382,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-308_S207_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-308_S207_R2_001.fastq.gz","LCM02","8/9/21","Mock","MES-43-27_38_2E","M.27",27,2,27,"Epi","DNA","Mock","none","No disease","No disease","Proestrus","Cervicovaginal wall","Mock -No disease","Mock -Proestrus","1.92E+01","43-27","Mock","Mock","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium"
"2817","ead24ae86ae5772d858b6fb33b4233ec","LK16S004-341",0.0238602471239881,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-341_S240_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-341_S240_R2_001.fastq.gz","LCM35","8/12/21","MmuPV1 + 6m E2","MES-43-17_23_1E","M.17",17,1,75,"Epi","DNA","MmuPV","E2","Low CIN (CIN2)","Low CIN","Diestrus/Proestrus","Cervicovaginal Fornix","MmuPV1 + 6m E2 -Low CIN","MmuPV1 + 6m E2 -Diestrus/Proestrus","2.92E+06","43-17","High","Persistent","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]"
"2679","d9e1ce347028fcd55677dd7dcaafe6ce","LK16S004-336",0.0238181818181818,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-336_S235_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-336_S235_R2_001.fastq.gz","LCM30","8/11/21","Mock + 6m E2","MES-43-44_58_2E","M.44",44,2,32,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus/Diestrus","Cervicovaginal wall","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus/Diestrus","N/A","43-44","","Mock+E2","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella"
"824","2df7c666a73180820243b056ffb9410c","LK16S004-350",0.0236913718584921,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-350_S249_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-350_S249_R2_001.fastq.gz","LCM44","8/13/21","MmuPV1 + 6m E2","MES-43-25_13_1E","M.25",25,1,124,"Epi","DNA","MmuPV","E2","SCC (at least CIN 3)","SCC","Diestrus","Ectocervix","MmuPV1 + 6m E2 -SCC","MmuPV1 + 6m E2 -Diestrus","7.59E+05","43-25","Low","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anaerobacillus"
"1316","512699b99a04e60a592db5b38aaa91d6","LK16S004-343",0.0236619889435636,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-343_S242_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-343_S242_R2_001.fastq.gz","LCM37","8/12/21","MmuPV1 + 6m E2","MES-43-18_08_2E","M.18",18,2,117,"Epi","DNA","MmuPV","E2","High CIN (CIN2-3)","High CIN","Metestrus/Diestrus","Vaginal wall","MmuPV1 + 6m E2 -High CIN","MmuPV1 + 6m E2 -Metestrus/Diestrus","1.86E+06","43-18","High","Persistent","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","Gemella"
"587","1e222faf07bcd55a8b19ee90a23f0f96","LK16S004-319",0.0235449237144472,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-319_S218_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-319_S218_R2_001.fastq.gz","LCM13","8/10/21","MmuPV1 only","MES-43-5_18_1E","M.05",5,1,60,"Epi","DNA","MmuPV","none","High CIN (CIN2-3)","High CIN","Proestrus","Vaginal wall","MmuPV1 only -High CIN","MmuPV1 only -Proestrus","9.62E+05","43-5","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Cellvibrio"
"2209","9b9b8920478ce89ca8cbf6df68c0c4ea","LK16S004-314",0.023433242506812,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-314_S213_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-314_S213_R2_001.fastq.gz","LCM08","8/10/21","Mock","MES-43-35_23_2E","M.35",35,2,12,"Epi","DNA","Mock","none","No disease","No disease","Estrus","Cervicovaginal wall","Mock -No disease","Mock -Estrus","N/A","43-35","","Mock","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium"
"480","1a98ff4f7e42b825bd257e038465432f","LK16S004-346",0.0234327908378541,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-346_S245_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-346_S245_R2_001.fastq.gz","LCM40","8/13/21","MmuPV1 + 6m E2","MES-43-21_02_1E","M.21",21,1,350,"Epi","DNA","MmuPV","E2","SCC","SCC","Diestrus","Ectocervix","MmuPV1 + 6m E2 -SCC","MmuPV1 + 6m E2 -Diestrus","8.09E+06","43-21","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"1620","5ee58a24025c09dc182b17b1ea028973","LK16S004-334",0.0233812949640288,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-334_S233_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-334_S233_R2_001.fastq.gz","LCM28","8/11/21","Mock + 6m E2","MES-43-43_68_2E","M.43",43,2,17,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus ","Cervicovaginal wall","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus ","N/A","43-43","","Mock+E2","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium"
"1255","4e269cbdd41f328dabf501e891c0c3ce","LK16S004-336",0.0232727272727273,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-336_S235_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-336_S235_R2_001.fastq.gz","LCM30","8/11/21","Mock + 6m E2","MES-43-44_58_2E","M.44",44,2,32,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus/Diestrus","Cervicovaginal wall","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus/Diestrus","N/A","43-44","","Mock+E2","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus"
"593","1e222faf07bcd55a8b19ee90a23f0f96","LK16S004-351",0.0231841763942931,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-351_S250_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-351_S250_R2_001.fastq.gz","LCM45","8/13/21","MmuPV1 + 6m E2","MES-43-26_28_1E","M.26",26,1,128,"Epi","DNA","MmuPV","E2","High CIN (at least CIN3)","High CIN","Estrus/Metestrus","Vaginal wall","MmuPV1 + 6m E2 -High CIN","MmuPV1 + 6m E2 -Estrus/Metestrus","2.03E+07","43-26","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Cellvibrio"
"1370","51ad0deb6331cb77f17cde5970059539","LK16S004-349",0.0231237322515213,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-349_S248_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-349_S248_R2_001.fastq.gz","LCM43","8/13/21","MmuPV1 + 6m E2","MES-43-23_38_1E","M.23",23,1,90,"Epi","DNA","MmuPV","E2","Low CIN (CIN 1-2)","Low CIN","Diestrus","Cervicovaginal wall","MmuPV1 + 6m E2 -Low CIN","MmuPV1 + 6m E2 -Diestrus","3.21E+06","43-23","High","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus"
"620","2273f6f8613e657e78cc6ae094ec8adf","LK16S004-311",0.0230322312906349,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-311_S210_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-311_S210_R2_001.fastq.gz","LCM05","8/10/21","Mock","MES-43-34_43_1E","M.34",34,1,13,"Epi","DNA","Mock","none","No disease","No disease","Metestrus/Diestrus","Ectocervix","Mock -No disease","Mock -Metestrus/Diestrus","N/A","43-34","","Mock","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"1468","5a2a9a35ece4a2e687016db9d7b21ee8","LK16S004-318",0.0229314170981718,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-318_S217_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-318_S217_R2_001.fastq.gz","LCM12","8/10/21","MmuPV1 only","MES-43-3_43_1E","M.03",3,1,99,"Epi","DNA","MmuPV","none","High CIN (at least CIN3)","High CIN","Diestrus","Vaginal wall","MmuPV1 only -High CIN","MmuPV1 only -Diestrus","4.92E+05","43-3","Low","Persistent","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"376","17c171ce10d22010cabfc28fe6f39010","LK16S004-346",0.0225286317058469,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-346_S245_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-346_S245_R2_001.fastq.gz","LCM40","8/13/21","MmuPV1 + 6m E2","MES-43-21_02_1E","M.21",21,1,350,"Epi","DNA","MmuPV","E2","SCC","SCC","Diestrus","Ectocervix","MmuPV1 + 6m E2 -SCC","MmuPV1 + 6m E2 -Diestrus","8.09E+06","43-21","High","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"1482","5b6b39802db698e3aee0c00b24df674b","LK16S004-352",0.0224927775484936,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-352_S251_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-352_S251_R2_001.fastq.gz","LCM46","8/13/21","MmuPV1 + 6m E2","MES-43-26_28_2E","M.26",26,2,161,"Epi","DNA","MmuPV","E2","High CIN (at least CIN3)","High CIN","Estrus/Metestrus","Vaginal wall","MmuPV1 + 6m E2 -High CIN","MmuPV1 + 6m E2 -Estrus/Metestrus","2.03E+07","43-26","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"2166","91c93208099c5254153fe250684deda0","LK16S004-338",0.0223285486443381,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-338_S237_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-338_S237_R2_001.fastq.gz","LCM32","8/12/21","MmuPV1 + 6m E2","MES-43-16_38_1E","M.16",16,1,125,"Epi","DNA","MmuPV","E2","High CIN (at least CIN3)","High CIN","Diestrus/Proestrus","Cervicovaginal wall","MmuPV1 + 6m E2 -High CIN","MmuPV1 + 6m E2 -Diestrus/Proestrus","6.16E+06","43-16","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"280","11800b1198de7eb5f9a2deb0180d2a96","LK16S004-346",0.0222272453285112,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-346_S245_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-346_S245_R2_001.fastq.gz","LCM40","8/13/21","MmuPV1 + 6m E2","MES-43-21_02_1E","M.21",21,1,350,"Epi","DNA","MmuPV","E2","SCC","SCC","Diestrus","Ectocervix","MmuPV1 + 6m E2 -SCC","MmuPV1 + 6m E2 -Diestrus","8.09E+06","43-21","High","Persistent","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella"
"1177","4868c31df7d7ea631682eb1c3a2f2dee","LK16S004-351",0.0220492866407263,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-351_S250_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-351_S250_R2_001.fastq.gz","LCM45","8/13/21","MmuPV1 + 6m E2","MES-43-26_28_1E","M.26",26,1,128,"Epi","DNA","MmuPV","E2","High CIN (at least CIN3)","High CIN","Estrus/Metestrus","Vaginal wall","MmuPV1 + 6m E2 -High CIN","MmuPV1 + 6m E2 -Estrus/Metestrus","2.03E+07","43-26","High","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria"
"2195","91c93208099c5254153fe250684deda0","LK16S004-316",0.021830985915493,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-316_S215_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-316_S215_R2_001.fastq.gz","LCM10","8/10/21","MmuPV1 only","MES-43-1_68_2E","M.01",1,2,18,"Epi","DNA","MmuPV","none","Low CIN","Low CIN","Proestrus","Vaginal wall","MmuPV1 only -Low CIN","MmuPV1 only -Proestrus","7.09E+05","43-1","Low","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"2493","c0b246f3495a6fc8a403a16ab30933f4","LK16S004-336",0.0218181818181818,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-336_S235_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-336_S235_R2_001.fastq.gz","LCM30","8/11/21","Mock + 6m E2","MES-43-44_58_2E","M.44",44,2,32,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus/Diestrus","Cervicovaginal wall","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus/Diestrus","N/A","43-44","","Mock+E2","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus"
"511","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-352",0.0216673545191911,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-352_S251_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-352_S251_R2_001.fastq.gz","LCM46","8/13/21","MmuPV1 + 6m E2","MES-43-26_28_2E","M.26",26,2,161,"Epi","DNA","MmuPV","E2","High CIN (at least CIN3)","High CIN","Estrus/Metestrus","Vaginal wall","MmuPV1 + 6m E2 -High CIN","MmuPV1 + 6m E2 -Estrus/Metestrus","2.03E+07","43-26","High","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"552","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-330",0.0214852872489491,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-330_S229_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-330_S229_R2_001.fastq.gz","LCM24","8/11/21","Mock + 6m E2","MES-43-40_68_2E","M.40",40,2,26,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Diestrus","Cervicovaginal wall","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Diestrus","N/A","43-40","","Mock+E2","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"516","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-309",0.0213789417423838,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-309_S208_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-309_S208_R2_001.fastq.gz","LCM03","8/9/21","Mock","MES-43-28_48_1E","M.28",28,1,8,"Epi","DNA","Mock","none","No disease","No disease","Diestrus","Ectocervix","Mock -No disease","Mock -Diestrus","1.54E+01","43-28","Mock","Mock","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces"
"2183","91c93208099c5254153fe250684deda0","LK16S004-317",0.0213464696223317,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-317_S216_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-317_S216_R2_001.fastq.gz","LCM11","8/10/21","MmuPV1 only","MES-43-2_18_1E","M.02",2,1,176,"Epi","DNA","MmuPV","none","High CIN (CIN2-3)","High CIN","Diestrus","Vaginal wall","MmuPV1 only -High CIN","MmuPV1 only -Diestrus","2.44E+06","43-2","High","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"905","36f80e2a17e5dc72737169f0f84aafbf","LK16S004-328",0.0213436817851079,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-328_S227_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-328_S227_R2_001.fastq.gz","LCM22","8/11/21","Mock + 6m E2","MES-43-39_63_2E","M.39",39,2,24,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus ","Cervicovaginal wall","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus ","1.65E+01","43-39","Mock","Mock+E2","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"2475","b7975c087c06cd0e2f800d9cd3af9a9e","LK16S004-335",0.0212669683257919,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-335_S234_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/LCMexperiment/ReSequencedData/LCMresequenced-fastqs/LK16S004-335_S234_R2_001.fastq.gz","LCM29","8/11/21","Mock + 6m E2","MES-43-44_58_1E","M.44",44,1,15,"Epi","DNA","Mock","E2","Hyperplasia (No Dysplasia)","Hyperplasia (No Dysplasia)","Metestrus/Diestrus","Ectocervix","Mock + 6m E2 -Hyperplasia (No Dysplasia)","Mock + 6m E2 -Metestrus/Diestrus","N/A","43-44","","Mock+E2","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
