"","OTU","Sample","Abundance","forward.absolute.filepath","reverse.absolute.filepath","Mouse.ID","LK16Sid","ExName","Ex","LavageDate","MP","SampleOrigin","Cage","ExCage","ExCageTp","Timepoint","TimeP","Timepoint.wks","AntibioticTx","Tp.Cage","Tp.ABX","NaturalMicro","Infected","InfectStage2","InfectStageDepo","InfectStageDEM","ViralCopyNumber","ViralCopyNumberHighLow","DiseaseCINEndpoint","InfectStage","DiseaseEndpointRanked","Cleared.PersistentAtEndpoint","Tp.Infect","ABX.Infect","Tp.ABX.Infect","InfectionStage","InfectStagePreUM","DiseaseCINEndpointRanked","Cleared.Persistent","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"4397","7ef1502ce8bb66ae8e24073897134f0a","LKMB005_043",0.0235073724921441,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_043_S43_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_043_S43_R2_001.fastq.gz","08-04--MP6-2","LKMB005_043","Pilot","E2","4-Aug","MP6-2","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp2","Timepoint 2","2","2","None","Tp2_Cage6","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","Pre-Infection","Pre-Infection","Pre-Infection","2wks post-Abx (just prior to N9/Infxn)","High","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"5481","a7f079173ac3cd268e83a1f6c8dd56ad","LK16S004-087",0.0233785822021116,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_087_S87_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_087_S87_R2_001.fastq.gz","08-19-M6-4","LK16S004_087","Baseline","E3","8/19/20","M6-4","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp3","Timepoint 3","3","3","None","Tp3_Cage6","Tp3_None","Untouched","Untouched","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Untouched","None_Untouched","Tp3_None_Untouched","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella","dispar"
"8954","f3e0021e6d88e5040f071b865fdf37dd","LK16S004-022",0.0233128834355828,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_022_S22_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_022_S22_R2_001.fastq.gz","07-28-M8-4","LK16S004_022","Baseline","E3","7/28/20","M8-4","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp1","Timepoint 1","1","0","None","Tp1_Cage8","Tp1_None","Natural","Mock","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp1_Mock","None_Mock","Tp1_None_Mock","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Alloiococcus",NA
"6087","b6c98c7165749908da28d7d4d65820c8","LK16S004-089",0.0232828870779977,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_089_S89_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_089_S89_R2_001.fastq.gz","08-19-M7-2","LK16S004_089","Baseline","E3","8/19/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp3","Timepoint 3","3","3","None","Tp3_Cage7","Tp3_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo",NA,"","CIN3",NA,NA,NA,"Tp3_Infected","None_Infected","Tp3_None_Infected","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","High","Persistent","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"9374","fbe681bb9d21244b516cdfdb7f230b69","LK16S004-093",0.0232558139534884,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_093_S93_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_093_S93_R2_001.fastq.gz","08-19-M08-3","LK16S004_093","Baseline","E3","8/19/20","M8-3","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Tp3_Cage8","Tp3_None","Post-Depo","Mock","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Mock","None_Mock","Tp3_None_Mock","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium","acnes"
"6622","c7d555f610bf1b7752afdae3e3d65946","LK16S004-092",0.0230203120400353,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_092_S92_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_092_S92_R2_001.fastq.gz","08-19-M08-2","LK16S004_092","Baseline","E3","8/19/20","M8-2","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Tp3_Cage8","Tp3_None","Post-Depo","Mock","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Mock","None_Mock","Tp3_None_Mock","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"627","1381e53833be538c7e162c6321cbc9f8","LKMB005_042",0.0229923732615523,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_042_S42_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_042_S42_R2_001.fastq.gz","08-04--MP6-1","LKMB005_042","Pilot","E2","4-Aug","MP6-1","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp2","Timepoint 2","2","2","None","Tp2_Cage6","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","Pre-Infection","Pre-Infection","Pre-Infection","2wks post-Abx (just prior to N9/Infxn)","High","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas",NA
"6677","c7d555f610bf1b7752afdae3e3d65946","LK16S004-015",0.0228131060528733,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_015_S15_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_015_S15_R2_001.fastq.gz","07-28-M6-4","LK16S004_015","Baseline","E3","7/28/20","M6-4","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp1","Timepoint 1","1","0","None","Tp1_Cage6","Tp1_None","Natural","Untouched","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp1_Untouched","None_Untouched","Tp1_None_Untouched","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"6624","c7d555f610bf1b7752afdae3e3d65946","LK16S004-057",0.0227296478210889,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_057_S57_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_057_S57_R2_001.fastq.gz","08-12-M7-2","LK16S004_057","Baseline","E3","8/12/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp2","Timepoint 2","2","2","None","Tp2_Cage7","Tp2_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","CIN3",NA,NA,NA,"Tp2_Infected","None_Infected","Tp2_None_Infected","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","High","Persistent","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"1272","206f8c4ad7b0b122a6c684d6fb222a85","LK16S004-103",0.0224887556221889,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_103_S105_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_103_S105_R2_001.fastq.gz","08-19-M11-2","LK16S004_103","Baseline","E3","8/19/20","M11-2","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp3","Timepoint 3","3","3","None","Tp3_Cage11","Tp3_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Infected","None_Infected","Tp3_None_Infected","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","rhizosphaerae"
"6268","b8a430a4c5b1a277cabacbeb07d99a01","LK16S004-021",0.0224719101123595,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_021_S21_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_021_S21_R2_001.fastq.gz","07-28-M8-3","LK16S004_021","Baseline","E3","7/28/20","M8-3","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp1","Timepoint 1","1","0","None","Tp1_Cage8","Tp1_None","Natural","Mock","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp1_Mock","None_Mock","Tp1_None_Mock","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"2333","372f76105ca25f42704b067a9aeb06d6","LKMB005_012",0.0222448057813911,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_012_S12_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_012_S12_R2_001.fastq.gz","07-21--MP4-1","LKMB005_012","Pilot","E2","21-Jul","MP4-1","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp1","Timepoint 1","1","0","None","Tp1_Cage4","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","High","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"8576","ecffc2022c0e89787d19d43381a157a7","LK16S004-091",0.0221238938053097,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_091_S91_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_091_S91_R2_001.fastq.gz","08-19-M08-1","LK16S004_091","Baseline","E3","8/19/20","M8-1","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Tp3_Cage8","Tp3_None","Post-Depo","Mock","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Mock","None_Mock","Tp3_None_Mock","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"733","17c171ce10d22010cabfc28fe6f39010","LK16S004-104",0.0220689655172414,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_104_S106_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_104_S106_R2_001.fastq.gz","08-19-M11-3","LK16S004_104","Baseline","E3","8/19/20","M11-3","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp3","Timepoint 3","3","3","None","Tp3_Cage11","Tp3_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo",NA,"","CIN2",NA,NA,NA,"Tp3_Infected","None_Infected","Tp3_None_Infected","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","Low","Persistent","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","iners"
"5024","95af0bbbf415e44ac7854156b9d705ee","LK16S004-031",0.0220588235294118,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_031_S31_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_031_S31_R2_001.fastq.gz","07-28-M11-2","LK16S004_031","Baseline","E3","7/28/20","M11-2","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp1","Timepoint 1","1","0","None","Tp1_Cage11","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp1_Infected","None_Infected","Tp1_None_Infected","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"1052","1c8169b4e7008ce117a2b8695986fe8f","LK16S004-090",0.022,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_090_S90_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_090_S90_R2_001.fastq.gz","08-19-M7-3","LK16S004_090","Baseline","E3","8/19/20","M7-3","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp3","Timepoint 3","3","3","None","Tp3_Cage7","Tp3_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo",NA,"","CIN2",NA,NA,NA,"Tp3_Infected","None_Infected","Tp3_None_Infected","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","Low","Persistent","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae","Streptomyces",NA
"6824","cbc9c4c32b4cb83e040a059f0efbc264","LK16S004-093",0.0219638242894057,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_093_S93_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_093_S93_R2_001.fastq.gz","08-19-M08-3","LK16S004_093","Baseline","E3","8/19/20","M8-3","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp3","Timepoint 3","3","3","None","Tp3_Cage8","Tp3_None","Post-Depo","Mock","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Mock","None_Mock","Tp3_None_Mock","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"3276","5142cb14c69eee1b9e87a6cbbecf107d","LK16S004-087",0.0218702865761689,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_087_S87_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_087_S87_R2_001.fastq.gz","08-19-M6-4","LK16S004_087","Baseline","E3","8/19/20","M6-4","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp3","Timepoint 3","3","3","None","Tp3_Cage6","Tp3_None","Untouched","Untouched","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Untouched","None_Untouched","Tp3_None_Untouched","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","geniculata"
"1743","2800bb10e27d18faa1115fa96aa35f9a","LKMB005_043",0.0218153251148175,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_043_S43_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_043_S43_R2_001.fastq.gz","08-04--MP6-2","LKMB005_043","Pilot","E2","4-Aug","MP6-2","Mouse","Cage6","E2_Cage6","E2_Cage6_Tp2","Timepoint 2","2","2","None","Tp2_Cage6","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","Pre-Infection","Pre-Infection","Pre-Infection","2wks post-Abx (just prior to N9/Infxn)","High","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","vesicularis"
"7492","d784ebd8c4ba9754c32eaf950f864c09","LK16S004-018",0.0217965653896962,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_018_S18_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_018_S18_R2_001.fastq.gz","07-28-M07-3","LK16S004_018","Baseline","E3","7/28/20","M7-3","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp1","Timepoint 1","1","0","None","Tp1_Cage7","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","CIN2",NA,NA,NA,"Tp1_Infected","None_Infected","Tp1_None_Infected","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","Low","Persistent","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium",NA
"2914","492c9d99645d6866290affabd62e6c23","LK16S004-102",0.0217806648834543,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_102_S104_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_102_S104_R2_001.fastq.gz","08-19-M11-1","LK16S004_102","Baseline","E3","8/19/20","M11-1","Mouse","Cage11","E3_Cage11","E3_Cage11_Tp3","Timepoint 3","3","3","None","Tp3_Cage11","Tp3_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo",NA,"","CIN3",NA,NA,NA,"Tp3_Infected","None_Infected","Tp3_None_Infected","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","High ","Persistent","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"8003","e31bccaf311cd8d35e536c2722aaf922","LK16S004-012",0.02175,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_012_S12_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_012_S12_R2_001.fastq.gz","07-28-M6-1","LK16S004_012","Baseline","E3","7/28/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp1","Timepoint 1","1","0","None","Tp1_Cage6","Tp1_None","Natural","Untouched","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp1_Untouched","None_Untouched","Tp1_None_Untouched","Day of Abx Start (2wk pre-infection; all essentially untouched mice)","Pre-Infection","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus"
"6589","c3c6b35a7e7fd0a56aab3c29bd47737b","LK16S004-058",0.0216836734693878,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_058_S58_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_058_S58_R2_001.fastq.gz","08-12-M7-3","LK16S004_058","Baseline","E3","8/12/20","M7-3","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp2","Timepoint 2","2","2","None","Tp2_Cage7","Tp2_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","CIN2",NA,NA,NA,"Tp2_Infected","None_Infected","Tp2_None_Infected","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","Low","Persistent","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA
"7266","d51b58b1f2535cb5d3fb7df63f20cd6d","LKMB005_039",0.0216684723726977,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_039_S39_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_039_S39_R2_001.fastq.gz","08-04--MP5-2","LKMB005_039","Pilot","E2","4-Aug","MP5-2","Mouse","Cage5","E2_Cage5","E2_Cage5_Tp2","Timepoint 2","2","2","None","Tp2_Cage5","Tp2_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo","Pre-Infection","Pre-Infection","Pre-Infection","2wks post-Abx (just prior to N9/Infxn)","No Tissue","Unknown",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","lividum"
"8921","f36c161e4341ca7c0fd5d7615f736706","LK16S004-060",0.0216322517207473,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_060_S60_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_060_S60_R2_001.fastq.gz","08-12-M08-2","LK16S004_060","Baseline","E3","8/12/20","M8-2","Mouse","Cage8","E3_Cage8","E3_Cage8_Tp2","Timepoint 2","2","2","None","Tp2_Cage8","Tp2_None","Natural","Mock","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp2_Mock","None_Mock","Tp2_None_Mock","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","","","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","lwoffii"
"8474","e922586081ebfd3c1131765980752500","LK16S004-084",0.021398002853067,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_084_S84_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_084_S84_R2_001.fastq.gz","08-19-M6-1","LK16S004_084","Baseline","E3","8/19/20","M6-1","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp3","Timepoint 3","3","3","None","Tp3_Cage6","Tp3_None","Untouched","Untouched","Pre-Infection","Post-Depo","Post-Depo",NA,"","",NA,NA,NA,"Tp3_Untouched","None_Untouched","Tp3_None_Untouched","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","","","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"4261","687e91d50463664ab627fb671a0a295d","LKMB005_013",0.021278590176228,"/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_013_S13_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/VaginalMicrobiome/Sequencing/WholeMouseDataSet/RawReads/LKMB005_013_S13_R2_001.fastq.gz","07-21--MP4-2","LKMB005_013","Pilot","E2","21-Jul","MP4-2","Mouse","Cage4","E2_Cage4","E2_Cage4_Tp1","Timepoint 1","1","0","None","Tp1_Cage4","Tp1_None","Natural","Infected","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Pre-Infection","Day of Abx Start (2wk pre-infection)","High","Persistent",NA,NA,NA,NA,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"6662","c7d555f610bf1b7752afdae3e3d65946","LK16S004-055",0.0212310982129219,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_055_S55_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_055_S55_R2_001.fastq.gz","08-12-M6-4","LK16S004_055","Baseline","E3","8/12/20","M6-4","Mouse","Cage6","E3_Cage6","E3_Cage6_Tp2","Timepoint 2","2","2","None","Tp2_Cage6","Tp2_None","Natural","Untouched","Pre-Infection","Pre-Infection","Pre-Infection",NA,"","",NA,NA,NA,"Tp2_Untouched","None_Untouched","Tp2_None_Untouched","""2 wks post-Abx start (just prior to Depo, so no Depo/N9 yet)""","Pre-Infection","","","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"2118","2f33b733b4dcdf756aa303ce72b45e42","LK16S004-089",0.0209545983701979,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_089_S89_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_089_S89_R2_001.fastq.gz","08-19-M7-2","LK16S004_089","Baseline","E3","8/19/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp3","Timepoint 3","3","3","None","Tp3_Cage7","Tp3_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo",NA,"","CIN3",NA,NA,NA,"Tp3_Infected","None_Infected","Tp3_None_Infected","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","High","Persistent","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"2202","30584d9aed923c0c1d895d6201f19924","LK16S004-089",0.0209545983701979,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_089_S89_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_089_S89_R2_001.fastq.gz","08-19-M7-2","LK16S004_089","Baseline","E3","8/19/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp3","Timepoint 3","3","3","None","Tp3_Cage7","Tp3_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo",NA,"","CIN3",NA,NA,NA,"Tp3_Infected","None_Infected","Tp3_None_Infected","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","High","Persistent","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus",NA
"3637","5eb8ab7d65c8b208ca4d69860a2d63b1","LK16S004-089",0.0209545983701979,"/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_089_S89_R1_001.fastq.gz","/Users/liztown/Documents/KalanLab/Sequencing/16S/LK16S004/LK16S004_089_S89_R2_001.fastq.gz","08-19-M7-2","LK16S004_089","Baseline","E3","8/19/20","M7-2","Mouse","Cage7","E3_Cage7","E3_Cage7_Tp3","Timepoint 3","3","3","None","Tp3_Cage7","Tp3_None","Post-Depo","Infected","Pre-Infection","Post-Depo","Post-Depo",NA,"","CIN3",NA,NA,NA,"Tp3_Infected","None_Infected","Tp3_None_Infected","3 wks post-Abx start + Depo (just prior to N9/infection)-still uninfected","Post-Depo","High","Persistent","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia",NA
